LAND,KONTINENT,EW,FLÄCHE,HAUPTSTADT,HÖCHSTER BERG,HÖHE,SPRACHE,STAATSFORM,WÄHRUNG
Schweden,Europa,8360000,449964,Stockholm,Kebnekajse,2111,Schwedisch,Konstitutionel. Monarchie,Schwed. Krone
Schweiz,Europa,6480000,41293,Bern,Monte Rosa,4634,Deutsch,Föderative Republik,Schweizer Franken
Senegal,Afrika,6580000,196192,Dakar,,400,Französisch,Präsidiale Republik,CFA-Franc
Seychellen,Afrika,65100,453,Victoria,-----,912,Kreolisch,Präsidiale Republik,Seychellen-Rupie
Sierra Leone,Afrika,3540000,71740,Freetown,Bintimani,1948,Englisch,Präsidiale Republik,Leone
Singapur,Asien,2560000,620,Singapur,-----,174,Englisch,Republik,Singapur-Dollar
Somalia,Afrika,5600000,637657,Mogadischu,Surud Ad,2408,Somali,Präsidiale Republik,Somal. Schilling
Spanien,Europa,38500000,504750,Madrid,Mulhacen,3478,Spanisch,Konstitutionel. Monarchie,Peseta
Sri Lanka,Asien,15600000,65610,Colombo,Pidurutalagala,2524,Singhalesisch,Präsidiale Republik,Sri Lanka Rupie
Südafrika,Afrika,23430000,1123226,Pretoria,Champagne Castle,3375,Afrikaans,Parlamentar. Republik,Rand
Sudan,Afrika,20560000,2505813,Khartum,Kinyeti,3187,Arabisch,Sozialistische Republik,Sudan. Pfund
Surinam,Amerika,388000,163265,Paramaribo,Wilhelminagebirge,1280,Niederländisch,Militaristische Republik,Surinam-Gulden
Swasiland,Afrika,630000,17364,Mbabane,Highvelt,1800,Isi-Swazi,Absolute Monarchie,Libangeni
Syrien,Asien,10600000,185180,Damaskus,Hermon,2814,Arabisch,Sozialistische Republik,Syrisches Pfund
Taiwan,Asien,19100000,36000,Taipeh,Mount Morrison,3997,Chinesisch,Präsidiale Republik,Neuer Taiwan Dollar
Tansania,Afrika,21700000,945087,Dodoma,Kilimandscharo,5895,Suaheli,Präsidiale Republik,Tansania-Schilling
Thailand,Asien,50600000,514000,Bangkok,Doi Angka,2595,Thai,Konstitutionel. Monarchie,Baht
Togo,Afrika,3050000,56785,Lome,Mont Agou,1020,Französisch,Präsidiale Republik,CFA-Franc
Tonga,Ozeanien,96400,747,Nukualofe,-----,1030,Englisch,Konstitutionel. Monarchie,Pa'anga
Trinidad & Tobago,Amerika,1100000,5128,Port of Spain,Mount Aripo,941,Englisch,Präsidiale Republik,T.-&-T.-Dollar
Tschad,Afrika,5080000,1284000,N'djamena,Emi Kussi,3415,Französisch,Militärdiktatur,CFA-Franc
Tschechoslowakei,Europa,1550000,127905,Prag,Gerlsdorfer Spitze,2655,Tschechisch,Sozialistische Republik,Tschechoslow. Krone
Tunesien,Afrika,6970000,163610,Tunis,Djebel Chambi,1544,Arabisch,Präsidiale Republik,Tunes. Dinar
Türkei,Asien,51400000,779452,Ankara,Ararat,5165,Türkisch,Präsidiale Demokratie,Türkisches Pfund
Tuvalu,Ozeanien,8230,25,Funafuti,Mount Palina,8,Englisch,Konstitutionel. Monarchie,Austral. Dollar
UdSSR,Asien,278700000,22402000,Moskau,Pik Kommunismus,7483,Russisch,Sozialistische Republik,Rubel
Uganda,Afrika,15200000,236860,Kampala,Margherita,5109,Suaheli,Präsidiale Republik,Uganda-Schilling
Ungarn,Europa,10700000,93036,Budapest,Neograder Gebirge,246,Ungarisch,Volksrepublik,Forint
Uruguay,Amerika,2990000,176215,Montevideo,Sierra de las Animas,501,Spanisch,Präsidiale Republik,Urugay. Neuer Peso
USA,Amerika,237400000,9363123,Washington,Mount MC Kinley,6193,Englisch,Präsidiale Republik,US-Dollar
Vanuatu,Ozeanien,130000,14763,Vila,-----,817,Englisch,Parlamentar. Republik,Vatu
Vatikanstaat,Europa,830,1,Vatikanstadt,-----,22,Italienisch,Absolute Monarchie,Ital. Lira
Venezuela,Amerika,16100000,912050,Caracas,Piko Bolivar,5007,Spanisch,Präsidialdemokratie,Bolivar
Verein. Arabische Emirate,Asien,1260000,83600,Abu Dhabi,-----,137,Arabisch,Föderatives Emirat,Dirham
Vietnam,Asien,58300000,329566,Hanoi,Fan Si Pan,3142,Vietnamesisch,Sozialistische Republik,Dong
West Samoa,Ozeanien,161000,2835,Apia,Silisiki,1844,Englisch,Parl. Häuptlingsaristokr.,Tala
Zaire,Afrika,34300000,2345409,Kinshasa,Margherita,5109,Französisch,Sozialist. Einheitsstaat,Zaire
Zentralafrika,Afrika,2600000,622984,Bangui,Mount Kayagangiri,1420,Französisch,Militärdiktatur,CFA-Franc
Zimbabwe,Afrika,8670000,390580,Harare,Inyangani,2593,Englisch,Republik,Zimbabwe-Dollar
Zypern,Asien,670000,9251,Nikosia,Olympus,1953,Griechisch,Präsidialdemokratie,Zypern-Pfund
